,Url,Alt. namn,Adress,Namn
354,Visa/stockholms-latin--och-realgymnasium/c5676674-01f4-4ab0-a19f-47c7a0dc52ab,,Norrlandsgatan 15B,Stockholms latin- och realgymnasium
355,Visa/skarpatorpsskolan-fd-tatorpsskolan/142b3798-aade-4927-b0d5-480eba05a46a,Tätorpsskolan,Pilvingegatan 32-34,"Skarpatorpsskolan, fd Tätorpsskolan"
356,Visa/storkyrkoforsamlingens-nicolai-forsamlings-od/6ff2842d-de09-43ca-af43-483787667672,,,Storkyrkoförsamlingens (Nicolai församlings) öd
357,Visa/orfeusskolan/6141ffeb-6a04-4d07-9ee7-4839d6e2c7ca,,Stora Mans Väg 1C,Orfeusskolan
358,Visa/klara-jakob-och-johannes-od--1940-1944/ab08f4d3-6732-44d1-964a-4850449c5004,,,"Klara, Jakob och Johannes öd  1940-1944"
359,Visa/stiftelsen-philipsenska-skolinrattningen/404f0fe8-a4b2-4784-8e34-4865a56a5099,Philipsenska skolinrättningen / Philipsenska stiftelsen / Maria Magdalena församlings fria läro- och arbetsinrättning för de fattigaste barnen inom församlingen / Philipsenska skolan,se Historik mm !,Stiftelsen Philipsenska skolinrättningen
360,Visa/fredrikshovs-slotts-skola/fe658395-d5fe-433e-bb47-4865fa7e5928,,Fredrikshovsgatan 6,Fredrikshovs slotts skola
361,Visa/delfinen-skola/2e2cc1a2-ce00-45bd-b9a6-48692dce6dc5,,Bogsätravägen 26,Delfinen skola
362,Visa/bagarmossens-odro--1954-1991/0996544c-83de-4dfd-85e3-487616770056,,,Bagarmossens öd/ro  1954-1991
363,Visa/privatskola/7265821a-efbf-40e2-b339-48a04063210c,,,Privatskola
364,Visa/johannelunds-terapiskola/53e713df-b95f-47d7-ae6b-491f215512aa,,"Missionsvägen 6-14  (""Tempelbacken"")",Johannelunds terapiskola
365,Visa/andrea-eneroths-handarbetsseminarium/0439ed56-1e63-4da7-ab1b-4922808c1e29,Andrea Eneroths högre handarbetsseminarium,,Andrea Eneroths handarbetsseminarium
366,Visa/nti-gymnasiet-gardet/7c4d8e48-97a8-4e36-ab0f-492d62a047de,NTI-gymnasiet Gärdet,Värtavägen 65,NTI gymnasiet Gärdet
367,Visa/hedvig-eleonora-slojdskoleavdelning-for-flickor/652d4fba-67b4-4a99-a906-49dc85b8cd9a,,,Hedvig Eleonora slöjdskoleavdelning för flickor
368,Visa/fagersjo-ro--1965-1972/24d87b25-9444-4d46-a339-49e0e4b5e7d6,,,Fagersjö ro  1965-1972
369,Visa/salmsons-skola/ad416271-aeff-44b4-af31-49e4b04d6b30,Mamsell Marie Salmonssons skola,se Historik mm !,Salmsons skola
370,Visa/svenska-lararsallskapet-stockholmsavdelningen/a2b88959-e346-4ca6-abb6-49eddd102c21,,,"Svenska lärarsällskapet, Stockholmsavdelningen"
