caption.sv,uuid
"Andersson, Karl Alexander (1854 - 1919)",d596e11f-7e50-4922-85b7-8d8fa5de9d6d
"Andersson, Karl Erik ( - 1965)",2e17eb04-715a-4c12-b99b-a79f2d48fa05
"Andersson, Karl Fr. (1865 - 1949)",3fd6c7ed-4b57-47c0-8399-7e93c4635e49
"Andersson, Karl Gustaf (1861 - )",78c80c09-f5d3-4277-876b-c22056227489
"Andersson, Klara (1862 - 1937)",5f88fc9a-f6f9-45c2-8d6f-fefa3d3215ad
"Andersson, Klara Amanda (1861 - 1912)",5bf78038-9187-4005-9e13-d35d136ff00b
"Andersson, Knut (1865 - 1949)",3a392445-5f8e-4d63-be7a-03ddf5c07836
"Andersson, Knut (1904 - 1961)",b27248ad-adc7-49e4-935f-15bebc47198a
"Andersson, Konstantin",f1fd3c3c-7e69-4c03-a815-5bb61450d4d9
"Andersson, Lilly Kristina Maria (1886 - 1977)",2b2554e2-0607-4f3e-8154-01b72e9ce275
"Andersson, M.",41c6b687-6e3d-4884-a6d3-fd3e880abe61
"Andersson, Maria (1856 - 1942)",2104dc8a-98c4-4522-8059-5b868f8b898c
"Andersson, Mimmi (1876 - )",b92cf8c6-ed8a-4b54-b0f9-197e14ef52b6
"Andersson, Märta Augusta Elisabet (1894 - )",44d89443-10aa-44ee-b4ab-699b2383361b
"Andersson, Märta Brita (1860 - 1939)",af3e8e35-e7a6-4020-9448-6d972dc94b4f
"Andersson, Nils Hemfrid (1884 - 1957)",82a5025d-44ef-408f-ac04-a61bd3c054e4
"Andersson, Nils Morits (1904 - 1957)",4ffe1d84-b3ae-4e5e-90a2-e1d0db01a31d
"Andersson, Olof ( - 1996)",61fbec0a-e0f2-4f71-9793-33cd2e4935cd
"Andersson, Olof (1835 - 1901)",88688614-326f-418a-9ee0-90670f59d605
"Andersson, Olof (1843 - 1880)",55fcd877-dba5-4320-ab30-1119458b4f22
"Andersson, Olof Adolf (1900 - 1976)",42704556-8c8e-406a-ba4b-6710b63d0952
"Andersson, Olof Martin (1853 - 1915)",1787d147-dfc6-4c2c-89a3-7d89567f26c6
"Andersson, Oskar Vilhelm (1882 - )",a169b2f5-3651-409e-bfc9-4d4dcd38b4d5
"Andersson, Paul Gottfrid (1889 - 1963)",37e886d0-a8b7-4f22-954e-b2d1dac9a4b6
"Andersson, Per (1878 - 1903)",ef496271-de1c-46f8-a77a-a09fab722f18
"Andersson, Per Vilhelm (1890 - )",87efcf98-6728-45d7-be21-d430f6ff89eb
"Andersson, Per Vilhelm (1899 - 1978)",80e93e7c-de8d-442a-8362-8f22dae12584
