caption.sv,uuid
Fotografi Atelier Robert Lindahl (Fotograffirma),1584b876-3e0a-4d1d-adf9-f279c32a5bbb
Fotografisk atelier Lindman (Fotograffirma),ba85c7d2-db9c-47e3-be22-a89b67223e0d
Fotomagasinet (Fotograffirma),e8029183-58e0-4e59-8bfd-b84eb9ba28db
Frankel & Börjesson (Fotograffirma),c9fd132a-6ac8-4e67-bbaa-d6921fcd5cd0
"Friis & Co, L (Fotograffirma)",08c01de0-ffd4-4e42-8a29-81889c5e9308
Fritz Pettersson Fotoaffär (Fotograffirma),f47df1b8-ee0e-4227-9295-77804339390f
G. & H. Hallberg (Fotograffirma),cac5a2b9-2b3c-4b2b-af3c-f50ccfb10193
Gardstens Eftr. (Fotograffirma),99fa58a5-c938-47a0-97df-8290f4ed7eb1
Gehrman Fotografiaffär (Fotograffirma),db993efd-6644-46f2-8a30-75c6e1349d05
Gellbergs Eftr. (Fotograffirma),c540c86d-02c9-43d7-929b-caf2c8092bcf
Gevalia-Foto (Fotograffirma),46e9af70-ea37-4c57-b258-fdfde9176aa8
Giselsons Atelier (Fotograffirma),5bfbc111-b6bd-407f-b726-3a974f202006
Grand Atelier (Fotograffirma),797b5046-69a1-475f-a68b-b841029fe7f2
Granlunds Eftr. (Fotograffirma),58eba32d-32a2-4fb7-87f1-ca5e6dad3cd4
Grehn & Jaenzon (Fotograffirma),c7cdbaeb-f248-4e95-aca7-3df1ff777df7
Gustaf Joop & Co (Fotograffirma),6efdb595-5d6d-41b0-a097-8f9593ae03d6
Gustafson & Holmquist (Fotograffirma),3cf900b5-f3bb-418c-842c-ec991a2c0936
"Gökalund, Atelier (Fotograffirma)",a5389350-d381-4fd1-bb6f-71ce78a463e7
Göta Atelier (Fotograffirma),1d653cbe-59c3-4f1e-991f-42fafe3b11ad
Göteborgs Fotografiaktiebolag (Fotograffirma),02e9070b-fa1c-494c-9e6b-75fb96016e2d
Göteborgs Musei Fotografiska Atelier (Fotograffirma),3b3aaf2a-3b5b-468f-9f51-d7a67008e3e8
Götlins fotografiska (Fotograffirma),5a1a43b7-3766-45fb-a9ce-a60a21137dfc
Hagberg & Andersson (Fotograffirma),a291a715-9dcb-43a6-970e-1736787c3363
Hagman & Ljunggren (Fotograffirma),71650a22-b7a9-40fe-9b31-f1a2ece863b3
Hallbergs Förstoringsatelier (Fotograffirma),8b952ff7-f3f0-427c-9d1e-c2dd40768814
Halldin & Bergqvist (Fotograffirma),3b14291a-5328-4199-9dce-7e687dd9d470
Hammar & Co (Fotograffirma),96b0333e-3749-4833-98d2-23da9cc35181
Hanna Lundborg & C:ni (Fotograffirma),862859f6-bded-4dd3-b1aa-b4af68497da0
Hanna Lundborg & Co (Fotograffirma),30874f7b-e351-490d-9d78-1c8d772b6741
Henri Osti's Fotografiateliér (Fotograffirma),377fd26e-14d2-47d4-9a64-ad1fbfd93786
Hilma Lundbom (Fotograffirma),f3cba7a8-4344-4e13-b705-cc0e0ba7c20a
Hospitalsgatan 8 (Fotograffirma),8e028b68-19a0-4612-b08c-daad21b415f5
Hovfotograf Axel Kallderns ateljé (Fotograffirma),c1df16ee-4274-4aa1-99c5-20fbf0706f97
I. Enander & Co (Fotograffirma),8e297d02-ee5c-471e-9a1f-9cde848fec82
Ivar Hasselmar (Fotograffirma),37ce8028-cdef-42c7-a4b0-344c01f5c4cc
J. A. Kock (Fotograffirma),07c30fab-3638-4752-85cf-baffd1de66e7
J. A. Lundquist & Co (Fotograffirma),8b3283d5-9c1e-42eb-ac14-0438c7277a42
J. E. Lundberg (Fotograffirma),85217ffb-f3ac-45e8-ba8a-fee022689e5e
J. Jacobsohn & Co (Fotograffirma),ac709dc4-79eb-4f98-9734-d3320232168e
J. Kock (Fotograffirma),ae90a87c-b2f5-40ae-b527-d0e12d61a631
Jakobson Gustaf A. (Fotograffirma),65134aeb-18ba-4335-9d89-9456ef12d449
Jansson & Dybeck (Fotograffirma),aec54354-4b3c-4092-9e30-5b845402e9fa
JE. Harnesk (Fotograffirma),9df9e367-140e-4e0c-bfe8-fa084e1b898c
Johan Ströms Eftr. Mina Bolin (Fotograffirma),9fc69e56-41cd-4749-b191-dd0a899dfc25
Johanson Gusti (Fotograffirma),7f593859-3bee-4507-ab0d-92a06a2cc030
Johanson H & H (Fotograffirma),a6f44791-2320-476e-a82b-9ef53f602cd0
